fundName,managerName,workingState,putOnRecordDate,establishDate,prod_comp,comp_code,count,是否量化,策略类型
天津创星拾陆号硬科技创业投资合伙企业（有限合伙）,上海创星之光创业投资管理有限公司,正在运作,2025-06-03,2025-05-27,,,2.0,0,主观多头
瑞氪量化对冲3号私募证券投资基金,上海瑞氪资产管理有限公司,正在运作,2025-06-03,2025-06-03,,,1.0,0,主观多头
远策探索3号私募证券投资基金,上海远策投资管理中心（有限合伙）,正在运作,2025-06-03,2025-05-30,,,1.0,0,主观多头
南京拨投结合股权投资基金（有限合伙）,南京江北新区投资发展私募基金管理有限公司,正在运作,2025-06-03,2025-05-28,,,1.0,0,主观多头
霈杉深圳1号私募证券投资基金,霈杉（上海）私募基金管理有限公司,正在运作,2025-06-03,2025-05-28,,,1.0,0,主观多头
昱荣行2号私募证券投资基金,南京昱荣行投资管理有限公司,正在运作,2025-06-03,2025-03-27,,,1.0,0,主观多头
珠海海锶福慧三号投资企业（有限合伙）,深圳海锶私募创业投资基金管理有限公司,正在运作,2025-06-16,2025-06-06,,,1.0,0,主观多头
上杭兴辰创业投资合伙企业（有限合伙）,上海辰韬资产管理有限公司,正在运作,2025-06-16,2025-06-09,,,1.0,0,主观多头
宽德量化精选9号私募证券投资基金,珠海宽德私募基金管理有限公司,正在运作,2025-06-16,2025-06-04,宽德,P1031924,5.0,1,空气指增
北京京畿福石叁号私募股权投资基金合伙企业（有限合伙）,北京京畿资产私募基金管理有限公司,正在运作,2025-06-16,2025-01-09,,,1.0,0,主观多头
一村日升创业投资（无锡）合伙企业（有限合伙）,上海一村私募基金管理有限公司,正在运作,2025-06-16,2025-02-12,,,1.0,0,主观多头
无锡清源壹号创业投资合伙企业（有限合伙）,无锡新投金石创业投资管理有限公司,正在运作,2025-06-16,2025-04-02,,,1.0,0,主观多头
卓识方略1000指数增强plus1期私募证券投资基金,北京卓识私募基金管理有限公司,正在运作,2025-06-16,2025-06-11,卓识,P1063264,2.0,1,指数增强
蒙玺信享稳进1号2期私募证券投资基金,上海蒙玺投资管理有限公司,正在运作,2025-06-16,2025-06-10,蒙玺,P1063294,2.0,1,空气指增
冠群灵珠私募证券投资基金,北京冠群投资管理有限公司,正在运作,2025-06-16,2025-04-21,,,1.0,0,主观多头
平方和鼎盛中盘股指数增强20号私募证券投资基金,宁波平方和投资管理合伙企业（有限合伙）,正在运作,2025-06-16,2025-06-06,平方和,P1025836,4.0,1,指数增强
南京南创中瀛扶摇贰号股权投资合伙企业（有限合伙）,南京紫金创投基金管理有限责任公司,正在运作,2025-06-16,2025-03-27,,,1.0,0,主观多头
浙江甬元科创芯华创业投资合伙企业（有限合伙）,北京朝晖同创私募基金管理有限责任公司,正在运作,2025-06-16,2025-06-05,,,1.0,0,主观多头
守正用奇量化选股一号私募证券投资基金,广州守正用奇私募基金管理有限公司,正在运作,2025-06-16,2025-05-28,,,2.0,1,空气指增
宽德华夏尊享量化选股2号私募证券投资基金,珠海宽德私募基金管理有限公司,正在运作,2025-06-16,2025-05-23,宽德,P1031924,5.0,1,空气指增
复胜正能量33号私募证券投资基金,上海复胜资产管理合伙企业（有限合伙）,正在运作,2025-06-16,2025-06-16,,,1.0,0,主观多头
无锡高易海晟投资合伙企业（有限合伙）,江苏高易创业投资管理有限公司,正在运作,2025-06-16,2025-05-15,,,1.0,0,主观多头
省心享衍合富博配置1号私募证券投资基金,衍合投资管理（青岛）有限公司,正在运作,2025-06-16,2025-05-22,,,2.0,1,空气指增
坤望量化对冲12号私募证券投资基金,上海坤望私募基金管理有限公司,正在运作,2025-06-16,2025-05-27,,,2.0,1,市场中性
九坤策略智选49号私募证券投资基金,九坤投资（北京）有限公司,正在运作,2025-06-16,2025-06-11,九坤,P1003313,7.0,1,空气指增
吉安武功山文旅产业发展基金合伙企业（有限合伙）,北京光辉私募基金管理有限公司,正在运作,2025-06-16,2025-05-16,,,1.0,0,主观多头
梧桐智睿稳健二号私募证券投资基金,深圳市梧桐智睿投资有限公司,正在运作,2025-06-16,2025-06-04,,,1.0,0,主观多头
嘉兴光影智趣股权投资合伙企业（有限合伙）,光合（海南）私募基金管理有限公司,正在运作,2025-06-16,2025-06-10,,,1.0,0,主观多头
鑫鼎长风稳进6号私募证券投资基金,深圳市鑫鼎私募证券基金管理有限公司,正在运作,2025-06-16,2025-06-11,,,1.0,0,主观多头
宝澜守拙熵衡私募证券投资基金,上海宝澜投资管理合伙企业（有限合伙）,正在运作,2025-06-16,2025-06-09,,,2.0,0,主观多头
赣州晟维创业投资中心（有限合伙）,赣州赣晟投资管理有限公司,正在运作,2025-06-16,2025-06-05,,,1.0,0,主观多头
问道稳健管理1号私募证券投资基金,问道私募基金管理（上海）有限公司,正在运作,2025-06-16,2025-05-26,,,1.0,0,主观多头
嘉兴银宙股权投资合伙企业（有限合伙）,上海银株私募基金管理有限公司,正在运作,2025-06-16,2025-05-08,,,1.0,0,主观多头
嘉兴翼翎创业投资合伙企业（有限合伙）,浙江浙大联合创新投资管理合伙企业（有限合伙）,正在运作,2025-06-16,2025-06-04,,,1.0,0,主观多头
共青城乙巳佳瑞创业投资合伙企业（有限合伙）,深圳市银卓私募创业投资基金管理有限公司,正在运作,2025-06-16,2025-04-30,,,1.0,0,主观多头
嘉兴筑城港兴创业投资合伙企业（有限合伙）,筑城（北京）资产管理有限公司,正在运作,2025-06-16,2025-05-20,,,1.0,0,主观多头
笃熙禀泰观澜2号私募证券投资基金,上海笃熙禀泰私募基金管理有限公司,正在运作,2025-06-16,2025-05-30,,,2.0,0,主观多头
北恒星图一号私募证券投资基金,海南北恒私募基金管理中心（有限合伙）,正在运作,2025-06-16,2025-06-03,,,2.0,0,主观多头
前海久盈安得五号私募证券投资基金,深圳前海久盈投资管理有限公司,正在运作,2025-06-16,2025-06-11,,,7.0,0,主观多头
嘉兴德宁佑安股权投资合伙企业（有限合伙）,德宁私募基金管理（嘉兴）合伙企业（有限合伙）,正在运作,2025-06-16,2025-06-11,,,1.0,0,主观多头
衍合澎泽专享2号私募证券投资基金,衍合投资管理（青岛）有限公司,正在运作,2025-06-16,2025-06-05,,,2.0,1,空气指增
广州艾益赛创业投资基金合伙企业（有限合伙）,广济惠达投资管理（天津）有限公司,正在运作,2025-06-16,2025-05-16,,,1.0,0,主观多头
景实瑞景壹号私募股权投资基金,长沙景实创业投资有限公司,正在运作,2025-06-16,2025-06-12,,,1.0,0,主观多头
韵之中证500指数增强私募证券投资基金,北京韵之私募基金管理有限公司,正在运作,2025-06-16,2025-06-10,,,1.0,0,主观多头
共青城弘庄创业投资合伙企业（有限合伙）,上海弘晖资产管理有限公司,正在运作,2025-06-16,2025-05-27,,,1.0,0,主观多头
孝庸魔方汇股票优选二号1期私募证券投资基金,上海孝庸私募基金管理有限公司,正在运作,2025-06-16,2025-05-30,,,6.0,0,主观多头
极量六年磨一剑私募证券投资基金,共青城极量投资管理合伙企业（有限合伙）,正在运作,2025-06-16,2025-05-26,,,1.0,0,主观多头
翰荣混合对冲一号私募证券投资基金,深圳翰荣私募证券基金管理有限公司,正在运作,2025-06-16,2025-06-11,,,3.0,1,市场中性
廷颐六号股权投资（济宁）合伙企业（有限合伙）,上海廷颐资产管理有限公司,正在运作,2025-06-16,2025-06-03,,,1.0,0,主观多头
尊和臻享1号私募证券投资基金,杭州尊和资产管理有限公司,正在运作,2025-06-16,2025-06-09,,,7.0,0,主观多头
珠海宽德九盈6号私募证券投资基金,珠海宽德私募基金管理有限公司,正在运作,2025-06-16,2025-06-05,宽德,P1031924,5.0,1,空气指增
杭州泽敏股权投资合伙企业（有限合伙）,杭州泽林私募基金管理有限公司,正在运作,2025-06-16,2025-06-10,,,1.0,0,主观多头
厦门高新创臻二期创业投资基金合伙企业（有限合伙）,厦门高新创智私募基金管理有限公司,正在运作,2025-06-16,2025-06-03,,,1.0,0,主观多头
福州市仓山区烟山壹号股权投资合伙企业（有限合伙）,福州高新区海峡创业投资管理有限公司,正在运作,2025-06-16,2025-05-20,,,1.0,0,主观多头
京华世家积极配置13号私募证券投资基金,京华世家私募基金管理（北京）有限公司,正在运作,2025-06-16,2025-06-11,,,2.0,0,主观多头
正瀛骐骥平衡2号私募证券投资基金,上海正瀛资产管理有限公司,正在运作,2025-06-16,2025-06-11,正瀛,P1060813,4.0,1,空气指增
宁波鼎巳芯股权投资合伙企业（有限合伙）,北京长赫投资管理有限公司,正在运作,2025-06-16,2025-05-29,,,1.0,0,主观多头
湘盐晟富焕启2号私募股权投资基金,湖南轻盐晟富创业投资管理有限公司,正在运作,2025-06-16,2025-05-30,,,1.0,0,主观多头
玄元元中20号私募证券投资基金,玄元私募基金投资管理（广东）有限公司,正在运作,2025-06-16,2025-06-06,玄元,P1029168,5.0,1,空气指增
铭杉量化稳健12号私募证券投资基金,上海铭杉投资管理有限公司,正在运作,2025-06-16,2025-06-11,,,1.0,0,主观多头
厦门金宏盈创业投资合伙企业（有限合伙）,厦门金东石投资管理有限公司,正在运作,2025-06-16,2025-06-05,,,1.0,0,主观多头
共青城华屹启航二号创业投资合伙企业（有限合伙）,共青城华屹私募基金管理有限公司,正在运作,2025-06-16,2025-06-12,,,1.0,0,主观多头
静瑞红利优选私募证券投资基金,静瑞私募基金管理（上海）有限公司,正在运作,2025-06-16,2025-06-05,,,1.0,0,主观多头
珠海宽德金刚钻16号私募证券投资基金,珠海宽德私募基金管理有限公司,正在运作,2025-06-16,2025-06-05,宽德,P1031924,5.0,1,空气指增
汉鸿青云2号私募证券投资基金,上海汉鸿私募基金管理有限公司,正在运作,2025-06-16,2025-06-11,,,1.0,0,主观多头
玄元元中10号私募证券投资基金,玄元私募基金投资管理（广东）有限公司,正在运作,2025-06-16,2025-06-06,玄元,P1029168,5.0,1,空气指增
深圳桂七健康创新创业投资基金合伙企业（有限合伙）,深圳桂树私募创业投资基金有限公司,正在运作,2025-06-16,2025-05-29,,,1.0,0,主观多头
重庆市涪陵区国园私募股权投资基金合伙企业（有限合伙）,中新互联互通投资基金管理有限公司,正在运作,2025-06-16,2025-06-09,,,1.0,0,主观多头
博润银泰魔方150号私募证券投资基金,北京博润银泰投资管理有限公司,正在运作,2025-06-16,2025-06-16,博润银泰,P1002960,3.0,1,空气指增
华安合鑫蓝色空间私募证券投资基金,深圳市华安合鑫私募证券基金管理有限公司,正在运作,2025-06-16,2025-06-11,,,1.0,0,主观多头
思瑞玉泉宏观私募证券投资基金,海南思瑞私募基金管理有限公司,正在运作,2025-06-16,2025-06-11,,,1.0,0,主观多头
正仁股票择时五期私募证券投资基金,海南正仁量化私募基金管理有限公司,正在运作,2025-06-16,2025-06-05,,,4.0,1,空气指增
量博H系2025D私募证券投资基金,量博（上海）私募基金管理有限公司,正在运作,2025-06-16,2025-06-04,,,1.0,0,主观多头
厦门厦金创新智能陆号创业投资合伙企业（有限合伙）,厦门厦金创新私募基金管理有限公司,正在运作,2025-06-16,2025-06-10,,,1.0,0,主观多头
瞻程护航私募证券投资基金,上海瞻程投资管理有限公司,正在运作,2025-06-16,2025-06-16,,,1.0,0,主观多头
六辰玉堂私募证券投资基金,六辰（海南）私募基金管理有限公司,正在运作,2025-06-16,2025-06-11,,,2.0,0,主观多头
孝庸全市场选股君享一号私募证券投资基金,上海孝庸私募基金管理有限公司,正在运作,2025-06-16,2025-06-11,,,6.0,0,主观多头
杭州波粒二象均衡对冲3号私募证券投资基金,杭州波粒二象资产管理有限公司,正在运作,2025-06-16,2025-06-11,,,1.0,0,主观多头
玄元元中21号私募证券投资基金,玄元私募基金投资管理（广东）有限公司,正在运作,2025-06-16,2025-06-06,玄元,P1029168,5.0,1,空气指增
进化论-江海远山75期私募证券投资基金,海南进化论私募基金管理有限公司,正在运作,2025-06-16,2025-06-11,进化论,P1006079,4.0,1,空气指增
正瀛骐骥指数增强31号私募证券投资基金,上海正瀛资产管理有限公司,正在运作,2025-06-16,2025-06-11,正瀛,P1060813,4.0,1,指数增强
平湖金珞股权投资合伙企业（有限合伙）,深圳金沙江联合华皓天使私募创业投资基金管理有限公司,正在运作,2025-06-16,2025-06-05,,,2.0,0,主观多头
青岛高信智算创业投资合伙企业（有限合伙）,上海高信私募基金管理有限公司,正在运作,2025-06-16,2025-06-10,,,1.0,0,主观多头
北京金沙江联合四期股权投资合伙企业（有限合伙）,北京金沙江联合资本创业投资管理有限公司,正在运作,2025-06-16,2025-06-12,,,1.0,0,主观多头
海南明上进取18号私募证券投资基金,海南明上私募基金管理中心（有限合伙）,正在运作,2025-06-16,2025-06-09,,,2.0,0,主观多头
嘉兴久奕雍珩创业投资合伙企业（有限合伙）,上海久奕雍霖私募基金管理有限公司,正在运作,2025-06-16,2025-06-06,,,1.0,0,主观多头
中平赣晟（广东）股权投资合伙企业（有限合伙）,西藏中平信私募股权投资基金管理有限公司,正在运作,2025-06-16,2025-06-13,,,1.0,0,主观多头
阶石稳健9号私募证券投资基金,深圳前海阶石资本管理有限公司,正在运作,2025-06-16,2025-06-10,,,1.0,0,主观多头
时间序列广胜红利优选1号私募证券投资基金,青岛时间序列资产管理有限公司,正在运作,2025-06-16,2025-06-11,,,3.0,0,主观多头
成都天崃协同创新创业投资基金合伙企业（有限合伙）,成都天府创新股权投资基金管理有限公司,正在运作,2025-06-16,2025-06-10,,,1.0,0,主观多头
江苏苏州人工智能产业专项母基金（有限合伙）,苏州国发创业投资控股有限公司,正在运作,2025-06-16,2025-05-26,,,2.0,0,主观多头
北京市门头沟区百洋铸心股权投资基金合伙企业（有限合伙）,北京百洋众信康健投资管理有限公司,正在运作,2025-06-16,2025-06-16,,,1.0,0,主观多头
共青城华拓合富拾号创业投资合伙企业（有限合伙）,深圳市华拓私募股权投资基金管理有限公司,正在运作,2025-06-16,2025-06-12,,,1.0,0,主观多头
泽塔逍遥牛1号私募证券投资基金,海南泽塔私募基金管理有限公司,正在运作,2025-06-17,2025-06-03,,,1.0,0,主观多头
珠池可转债量化精选6期私募证券投资基金,上海珠池资产管理有限公司,正在运作,2025-06-17,2025-04-15,,,1.0,0,主观多头
泓赫聚源1号私募证券投资基金,上海泓赫投资管理有限公司,正在运作,2025-06-17,2025-05-30,,,1.0,0,主观多头
微观博易-黎夏指增七号1期私募证券投资基金,北京微观博易私募基金管理有限公司,正在运作,2025-06-17,2025-06-05,微观博易,P1031932,4.0,1,指数增强
千象全景多元量化3号1期私募证券投资基金,上海千象资产管理有限公司,正在运作,2025-06-17,2025-06-06,千象,P1006930,6.0,1,空气指增
衍复金选中证A500指数增强一号私募证券投资基金,上海衍复投资管理有限公司,正在运作,2025-06-17,2025-06-11,衍复,P1070325,5.0,1,指数增强
鸣石祥鹭1号量化选股私募证券投资基金,上海鸣石私募基金管理有限公司,正在运作,2025-06-17,2025-06-10,鸣石,P1005659,3.0,1,空气指增
涌盈恒睿私募证券投资基金,横琴涌盈投资管理有限公司,正在运作,2025-06-17,2025-06-10,,,1.0,0,主观多头
圭源诺万鲲鹏多策略3号私募证券投资基金,上海圭源私募基金管理有限公司,正在运作,2025-06-17,2025-06-09,,,1.0,0,主观多头
弥伦天玑1号私募证券投资基金,深圳弥伦私募证券基金管理有限公司,正在运作,2025-06-17,2025-06-10,,,1.0,0,主观多头
乐水小波增强五号私募证券投资基金,北京乐水私募基金管理有限公司,正在运作,2025-06-17,2025-06-11,,,3.0,1,指数增强
荣熙坤元鼎益私募证券投资基金,上海荣熙私募基金管理有限公司,正在运作,2025-06-17,2025-05-28,,,1.0,0,主观多头
微观博易-古玉中性五号私募证券投资基金,北京微观博易私募基金管理有限公司,正在运作,2025-06-17,2025-06-09,微观博易,P1031932,4.0,1,市场中性
木华水清（上海）创业投资合伙企业（有限合伙）,水木华清（北京）创业投资基金管理有限责任公司,正在运作,2025-06-17,2025-06-05,,,1.0,0,主观多头
平方和多策略对冲6号C期私募证券投资基金,宁波平方和投资管理合伙企业（有限合伙）,正在运作,2025-06-17,2025-06-12,平方和,P1025836,4.0,1,市场中性
鑫博润家泰全球机遇1号私募证券投资基金,武汉鑫博润资产管理有限公司,正在运作,2025-06-17,2025-06-12,,,1.0,0,主观多头
悦海盈和量化选股2号私募证券投资基金,青岛悦海盈和基金投资管理有限公司,正在运作,2025-06-17,2025-06-11,,,2.0,0,主观多头
正定中证1000指数增强7号私募证券投资基金,北京正定私募基金管理合伙企业（有限合伙）,正在运作,2025-06-17,2025-06-11,正定,P1073791,2.0,1,指数增强
景星胜达3号私募证券投资基金,北京景星资产管理有限公司,正在运作,2025-06-17,2025-05-27,,,1.0,0,主观多头
广金美好贝叶斯五号私募证券投资基金,横琴广金美好基金管理有限公司,正在运作,2025-06-17,2025-06-12,,,3.0,0,主观多头
洪运瑞恒全球市场增息11号私募证券投资基金,青岛洪运瑞恒私募基金管理有限公司,正在运作,2025-06-17,2025-06-04,,,1.0,0,主观多头
龙旗专享1号私募证券投资基金,杭州龙旗科技有限公司,正在运作,2025-06-17,2025-06-12,龙旗,P1000676,2.0,1,空气指增
鹤禧全球科技成长一号私募证券投资基金,上海鹤禧私募基金管理有限公司,正在运作,2025-06-17,2025-06-03,,,1.0,0,主观多头
天榕瑞幸1号私募证券投资基金,天榕（青岛）基金管理有限公司,正在运作,2025-06-17,2025-05-30,,,1.0,0,主观多头
九坤千乘中证1000指数增强专享15号私募证券投资基金,九坤投资（北京）有限公司,正在运作,2025-06-17,2025-06-12,九坤,P1003313,7.0,1,指数增强
杭州凯泰智生股权投资合伙企业（有限合伙）,杭州凯泰长汇投资管理有限公司,正在运作,2025-06-17,2025-04-10,,,1.0,0,主观多头
嘉兴进开创业投资合伙企业（有限合伙）,北京鼎欣资产管理有限公司,正在运作,2025-06-17,2025-06-09,,,1.0,0,主观多头
千象全景多元量化21号私募证券投资基金,上海千象资产管理有限公司,正在运作,2025-06-17,2025-06-06,千象,P1006930,6.0,1,空气指增
汉方第九交响2号私募证券投资基金,深圳市汉方私募证券基金有限公司,正在运作,2025-06-17,2025-06-04,,,1.0,0,主观多头
君宜共锦私募证券投资基金,深圳君宜私募证券基金管理有限公司,正在运作,2025-06-17,2025-06-04,,,1.0,0,主观多头
追云资产致远2号私募证券投资基金,上海追云资产管理有限公司,正在运作,2025-06-17,2025-06-12,,,1.0,0,主观多头
珠海宽德金享量化选股10号私募证券投资基金,珠海宽德私募基金管理有限公司,正在运作,2025-06-17,2025-06-09,宽德,P1031924,5.0,1,空气指增
前海久盈通晓八号私募证券投资基金,深圳前海久盈投资管理有限公司,正在运作,2025-06-17,2025-06-12,,,7.0,0,主观多头
青岛瓴投未来创业投资基金合伙企业（有限合伙）,绍兴华夏瓴投投资管理有限公司,正在运作,2025-06-17,2025-06-06,,,1.0,0,主观多头
佑仓易投稳健1号私募证券投资基金,陕西佑仓资产管理有限公司,正在运作,2025-06-17,2025-05-29,,,1.0,0,主观多头
进化论广胜中证1000指增1号私募证券投资基金,海南进化论私募基金管理有限公司,正在运作,2025-06-17,2025-06-10,进化论,P1006079,4.0,1,指数增强
智领宏观多策略私募证券投资基金,福州高新区智领三联私募基金管理有限公司,正在运作,2025-06-17,2025-06-11,,,2.0,0,主观多头
玄元元中12号私募证券投资基金,玄元私募基金投资管理（广东）有限公司,正在运作,2025-06-17,2025-06-06,玄元,P1029168,5.0,1,空气指增
景上源星辰7号私募证券投资基金,杭州景上源私募基金管理有限公司,正在运作,2025-06-17,2025-06-09,,,1.0,0,主观多头
孝庸市场中性富春1号私募证券投资基金,上海孝庸私募基金管理有限公司,正在运作,2025-06-17,2025-06-12,,,6.0,0,主观多头
嘉兴九剑睿琨股权投资合伙企业（有限合伙）,宁波梅山保税港区九剑资产管理有限公司,正在运作,2025-06-17,2025-06-13,,,1.0,0,主观多头
纽富斯稳健成长3号私募证券投资基金,深圳纽富斯投资管理有限公司,正在运作,2025-06-17,2025-06-12,,,2.0,0,主观多头
汉程ETF轮动私募证券投资基金,上海汉程投资管理中心（有限合伙）,正在运作,2025-06-17,2025-05-30,,,1.0,0,主观多头
孝庸混合策略配置一号私募证券投资基金,上海孝庸私募基金管理有限公司,正在运作,2025-06-17,2025-06-12,,,6.0,0,主观多头
和棋期忆10号私募证券投资基金,江苏和棋投资管理有限公司,正在运作,2025-06-17,2025-06-17,,,1.0,0,主观多头
半鞅量化专享26号私募证券投资基金,上海半鞅私募基金管理合伙企业（有限合伙）,正在运作,2025-06-17,2025-06-11,,,2.0,1,空气指增
骏胜骏腾6号私募证券投资基金,上海骏胜资产管理有限公司,正在运作,2025-06-17,2025-06-12,,,2.0,0,主观多头
双安乐知5号私募证券投资基金,南京双安资产管理有限公司,正在运作,2025-06-17,2025-06-12,,,1.0,0,主观多头
成都高新策源低空经济创业投资合伙企业（有限合伙）,成都高新新经济创业投资有限公司,正在运作,2025-06-17,2025-03-26,,,1.0,0,主观多头
丰润金享一期私募证券投资基金,北京丰润恒道私募基金管理有限公司,正在运作,2025-06-17,2025-06-11,,,2.0,0,主观多头
励石合富久盈1号私募证券投资基金,上海励石投资管理有限公司,正在运作,2025-06-17,2025-06-09,,,1.0,0,主观多头
玖玖观远1号私募证券投资基金,玖玖(海南)私募基金管理合伙企业(有限合伙),正在运作,2025-06-17,2025-06-11,,,1.0,0,主观多头
宁波光芯创业投资合伙企业（有限合伙）,上海安宇私募基金管理有限公司,正在运作,2025-06-17,2025-06-13,,,1.0,0,主观多头
睿郡慧享1号私募证券投资基金,上海睿郡资产管理有限公司,正在运作,2025-06-17,2025-06-12,,,3.0,0,主观多头
山岳恒山鸿利2号私募证券投资基金,广州山岳私募基金管理有限公司,正在运作,2025-06-17,2025-06-12,,,1.0,0,主观多头
南通未来产业天使投资基金（有限合伙）,苏州工业园区元禾原点创业投资管理有限公司,正在运作,2025-06-17,2025-06-17,,,1.0,0,主观多头
甄投创鑫42号私募证券投资基金,上海甄投资产管理有限公司,正在运作,2025-06-17,2025-06-05,,,2.0,0,主观多头
